layer,key,shape,numel,norm_a,norm_b,norm_ratio,mean_a,mean_b,mean_ratio,std_a,std_b,std_ratio,zero_frac_a,zero_frac_b,cos_sim,rel_l2_err,mean_rel_diff,max_rel_diff,pearson,max_abs_diff,mean_abs_diff,spearman,q01_abs_diff,q05_abs_diff,q50_abs_diff,q95_abs_diff,q99_abs_diff
33,model.layers.33.mlp.up_proj.weight,"(14336, 5120)",73400320,81.45198059082031,81.4073715209961,1.000548005104065,1.1365079899405828e-06,1.1441827609814936e-06,0.9932923316955566,0.009507200680673122,0.009501993656158447,1.000548005104065,0.0,0.0,0.9994269013404846,0.03385309502482414,0.4012007713317871,812445.3125,0.9994267821311951,0.00299072265625,0.0002545877650845796,0.9993590116500854,0.0,0.0,0.000213623046875,0.0006256103515625,0.0008544921875
33,model.layers.33.post_attention_layernorm.weight,"(5120,)",5120,90.61022186279297,90.61022186279297,1.0,1.2625912427902222,1.2625912427902222,1.0,0.09706027060747147,0.09706027060747147,1.0,0.0,0.0,1.0000001192092896,0.0,0.0,0.0,0.9999999403953552,0.0,0.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0
33,model.layers.33.self_attn.k_proj.weight,"(1024, 5120)",5242880,24.140626907348633,24.129728317260742,1.000451683998108,-3.250373765695258e-06,-3.490961489660549e-06,-3250373.75,0.010542984120547771,0.010538224130868912,1.000451683998108,0.0,0.0,0.9995125532150269,0.03121376410126686,0.36055484414100647,154650.09375,0.9995128512382507,0.006317138671875,0.00025467397063039243,0.9993891716003418,0.0,0.0,0.000213623046875,0.000640869140625,0.00091552734375
33,model.layers.33.self_attn.o_proj.weight,"(5120, 4096)",20971520,45.7064094543457,45.681705474853516,1.0005407333374023,2.5384672426298494e-06,2.5852257294900483e-06,0.9819132089614868,0.009980726055800915,0.009975332766771317,1.0005406141281128,4.7683716530855236e-08,0.0,0.9994434118270874,0.03336175158619881,1.2165095806121826,14007092.0,0.9994432926177979,0.0022735595703125,0.00026406641700305045,0.999358057975769,0.0,0.0,0.000244140625,0.0006561279296875,0.0008544921875
33,model.layers.33.self_attn.q_proj.weight,"(4096, 5120)",20971520,44.755191802978516,44.73175811767578,1.0005239248275757,-4.773119144374505e-08,-9.329778727362736e-09,-47731.19140625,0.00977301225066185,0.009767895564436913,1.0005238056182861,0.0,0.0,0.9994648098945618,0.03271184116601944,0.3642289340496063,273860.9375,0.9994648098945618,0.0028076171875,0.0002503391297068447,0.9993410706520081,0.0,0.0,0.000213623046875,0.0006201267242431641,0.0008544921875
33,model.layers.33.self_attn.v_proj.weight,"(1024, 5120)",5242880,26.96885108947754,26.960596084594727,1.0003061294555664,7.332934274018044e-06,7.611334240209544e-06,0.963422954082489,0.011778158135712147,0.011774552054703236,1.000306248664856,0.0,0.0,0.9996708631515503,0.025653213262557983,0.25494977831840515,51868.7265625,0.9996708631515503,0.003204345703125,0.00023450593289453536,0.9996151924133301,0.0,0.0,0.00018310546875,0.0006103515625,0.0008544921875
34,model.layers.34.input_layernorm.weight,"(5120,)",5120,85.92989349365234,85.92989349365234,1.0,1.1541235446929932,1.1541235446929932,1.0,0.331927627325058,0.331927627325058,1.0,0.0,0.0,0.9999999403953552,0.0,0.0,0.0,1.0,0.0,0.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0
34,model.layers.34.mlp.down_proj.weight,"(5120, 14336)",73400320,81.66604614257812,81.64847564697266,1.0002151727676392,2.209663136909512e-07,2.5274101744798827e-07,0.8742796182632446,0.009532187134027481,0.009530136361718178,1.0002151727676392,0.0,0.0,0.999780535697937,0.020949508994817734,0.2554836869239807,1238629.375,0.9997805953025818,0.001953125,0.00015761246322654188,0.9997524619102478,0.0,0.0,0.0001220703125,0.000385284423828125,0.000518798828125
34,model.layers.34.mlp.gate_proj.weight,"(14336, 5120)",73400320,82.9492416381836,82.89592742919922,1.0006431341171265,4.087602519575739e-06,4.079989594174549e-06,1.0018658638000488,0.009681962430477142,0.009675739333033562,1.0006431341171265,0.0,0.0,0.9993335008621216,0.03650214523077011,0.41980352997779846,2157938.0,0.9993335008621216,0.003662109375,0.00027739160577766597,0.9992393851280212,0.0,0.0,0.000244140625,0.000701904296875,0.0009708404541015625
34,model.layers.34.mlp.up_proj.weight,"(14336, 5120)",73400320,81.89397430419922,81.84907531738281,1.0005486011505127,-1.8645935995209584e-07,-2.2618000627971924e-07,-186459.359375,0.009558790363371372,0.009553549811244011,1.0005486011505127,0.0,0.0,0.9994349479675293,0.03361261263489723,0.55595463514328,6710887.0,0.9994348883628845,0.00363922119140625,0.0002538984699640423,0.9993683099746704,0.0,0.0,0.000213623046875,0.00061798095703125,0.0008544921875
34,model.layers.34.post_attention_layernorm.weight,"(5120,)",5120,93.14054870605469,93.14054870605469,1.0,1.2982044219970703,1.2982044219970703,1.0,0.09504252672195435,0.09504252672195435,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0
34,model.layers.34.self_attn.k_proj.weight,"(1024, 5120)",5242880,20.067121505737305,20.055707931518555,1.0005691051483154,-8.674232958583161e-07,-8.196038834284991e-07,-867423.3125,0.008763954043388367,0.008758969604969025,1.0005691051483154,0.0,0.0,0.9994205236434937,0.03403530642390251,0.4653719961643219,297004.5625,0.9994205832481384,0.0037078857421875,0.00023424623941536993,0.9991854429244995,0.0,0.0,0.00018310546875,0.0006017237901687622,0.00079345703125
34,model.layers.34.self_attn.o_proj.weight,"(5120, 4096)",20971520,50.33470916748047,50.31060028076172,1.0004792213439941,-9.693364972918062e-07,-9.593499044058262e-07,-969336.5,0.01099138893187046,0.010986125096678734,1.0004791021347046,0.0,0.0,0.9995090961456299,0.03132851421833038,0.3147408068180084,78531.59375,0.9995090961456299,0.00201416015625,0.00027324931579642,0.9994211196899414,0.0,0.0,0.000244140625,0.00067138671875,0.0008907318115234375
